-------------Parameters:-------------
Sigma,0.35
MCMC Steps,350000
Observations,2
Replicas,20
Percentage of correctly aligned nodes,100.0,100.0
Alignability,100
Steps required to reach the true alignment or find a better one,3129
H_min and H_true,41.74831761990586,41.74831761990586
Time,294.916974067688
-------------Energies:-------------
